,Stat_checking_acc,Duration_months,Credit_history,Purpose,Credit_amount,Savings_bonds,Duration_of_employment,Installment_pct_annual_income,Marital_status__and_sex,Other_debtors,Resident_since,Property,Age,Other_plans,Housing,Num_existing_credits,Job,num_liable,Has_phone,Foreign_Worker,Class
67,102.0,12,paid_back_duly,car_new,1007,4400.0,3.0,4,male,none,1,real_estate,22,none,rent,1,skilled,1,0,1,1
68,0.0,36,paid_back_duly,education,1819,54.0,3.0,4,male,none,4,unknown_or_none,37,stores,own/free,1,skilled,1,1,1,2
69,0.0,36,paid_back_duly,radio_tv,2394,0.0,2.0,4,fem,none,4,car_or_other,25,none,rent,1,skilled,1,0,1,1
70,0.0,36,paid_back_duly,car_used,8133,47.0,3.0,1,fem,none,2,life_insurance,30,bank,rent,1,skilled,1,0,1,1
71,0.0,7,critical,radio_tv,730,0.0,8.0,4,male,none,2,life_insurance,46,none,own/free,2,unskilled,1,1,1,1
72,-87.0,8,critical,others,1164,30.0,15.0,3,male,none,4,unknown_or_none,51,bank,own/free,2,skilled,2,1,1,1
73,115.0,42,critical,business,5954,56.0,6.0,2,fem,none,1,real_estate,41,bank,rent,2,unskilled,1,0,1,1
74,-98.0,36,paid_back_duly,education,1977,0.0,14.0,4,male,none,4,unknown_or_none,40,none,rent,1,skilled,1,1,1,2
75,-106.0,12,critical,car_used,1526,30.0,9.0,4,male,none,4,unknown_or_none,66,none,own/free,2,skilled,1,0,1,1
76,-104.0,42,paid_back_duly,radio_tv,3965,46.0,0.0,4,male,none,3,car_or_other,34,none,rent,1,skilled,1,0,1,2
77,84.0,11,delayed_pay,radio_tv,4771,39.0,5.0,2,male,none,4,life_insurance,51,none,rent,1,skilled,1,0,1,1
78,0.0,54,paid_back_duly,car_used,9436,0.0,2.0,2,male,none,2,life_insurance,39,none,rent,1,unskilled,2,0,1,1
79,76.0,30,paid_back_duly,furniture_equipment,3832,57.0,0.0,2,male,none,1,life_insurance,22,none,rent,1,skilled,1,0,1,1
80,1.0,24,paid_back_duly,radio_tv,5943,0.0,0.0,1,fem,none,1,car_or_other,44,none,rent,2,skilled,1,1,1,2
81,0.0,15,paid_back_duly,radio_tv,1213,704.0,9.0,4,male,none,3,life_insurance,47,stores,rent,1,skilled,1,1,1,1
82,0.0,18,paid_back_duly,business,1568,340.0,1.0,3,fem,none,4,life_insurance,24,none,own/free,1,unskilled,1,0,1,1
83,-79.0,24,paid_back_duly,others,1755,34.0,13.0,4,fem,guarantor,4,real_estate,58,none,rent,1,unskilled,1,1,1,1
84,-117.0,10,paid_back_duly,radio_tv,2315,34.0,10.0,3,male,none,4,real_estate,52,none,rent,1,unskilled,1,0,1,1
85,0.0,12,critical,business,1412,46.0,3.0,4,fem,guarantor,2,real_estate,29,none,rent,2,skilled,1,1,1,1
86,73.0,18,critical,furniture_equipment,1295,62.0,0.0,4,fem,none,1,life_insurance,27,none,rent,2,skilled,1,0,1,1
87,129.0,36,paid_back_duly,education,12612,143.0,3.0,1,male,none,4,unknown_or_none,47,none,own/free,1,skilled,2,1,1,2
88,-103.0,18,paid_back_duly,car_new,2249,293.0,5.0,4,male,none,3,car_or_other,30,none,rent,1,skilled,2,1,1,1
89,-115.0,12,paid_back_duly,repairs,1108,32.0,5.0,4,male,none,3,real_estate,28,none,rent,2,skilled,1,0,1,2
90,0.0,12,critical,radio_tv,618,63.0,10.0,4,male,none,4,real_estate,56,none,rent,1,skilled,1,0,1,1
91,-103.0,12,critical,car_used,1409,66.0,13.0,4,male,none,3,real_estate,54,none,rent,1,skilled,1,0,1,1
92,0.0,12,critical,radio_tv,797,0.0,12.0,4,fem,none,3,life_insurance,33,bank,rent,1,unskilled,2,0,1,2
93,557.0,24,critical,furniture_equipment,3617,0.0,10.0,4,male,co-app,4,unknown_or_none,20,none,own/free,2,skilled,1,0,1,1
94,106.0,12,paid_back_duly,car_new,1318,5334.0,13.0,4,male,none,4,real_estate,54,none,rent,1,skilled,1,1,1,1
95,132.0,54,paid_back_duly,business,15945,52.0,0.0,3,male,none,4,unknown_or_none,58,none,own/free,1,skilled,1,1,1,2
96,0.0,12,critical,education,2012,0.0,5.0,4,fem,none,2,car_or_other,61,none,rent,1,skilled,1,0,1,1
97,114.0,18,paid_back_duly,business,2622,296.0,3.0,4,male,none,4,car_or_other,34,none,rent,1,skilled,1,0,1,1
98,101.0,36,critical,radio_tv,2337,66.0,10.0,4,male,none,4,real_estate,36,none,rent,1,skilled,1,0,1,1
99,110.0,20,delayed_pay,car_used,7057,0.0,4.0,3,male,none,4,life_insurance,36,bank,own/free,2,skilled,2,1,1,1
100,0.0,24,paid_back_duly,car_new,1469,152.0,11.0,4,male,none,4,real_estate,41,none,own/free,1,unskilled,1,0,1,1
101,94.0,36,paid_back_duly,radio_tv,2323,46.0,6.0,4,male,none,4,car_or_other,24,none,own/free,1,skilled,1,0,1,1
102,1.0,6,delayed_pay,radio_tv,932,8.0,2.0,3,fem,none,2,real_estate,24,none,rent,1,skilled,1,0,1,1
103,55.0,9,critical,furniture_equipment,1919,89.0,5.0,4,male,none,3,car_or_other,35,none,own/free,1,skilled,1,1,1,1
104,0.0,12,paid_back_duly,car_used,2445,0.0,0.0,2,male,none,4,car_or_other,26,none,own/free,1,skilled,1,1,1,1
105,56.0,24,critical,others,11938,42.0,2.0,2,male,co-app,3,car_or_other,39,none,rent,2,skilled,2,1,1,2
106,0.0,18,paid_back_duly,car_new,6458,45.0,11.0,2,male,none,4,unknown_or_none,39,bank,rent,2,skilled,2,1,1,2
107,120.0,12,paid_back_duly,car_new,6078,62.0,7.0,2,male,none,2,car_or_other,32,none,rent,1,skilled,1,0,1,1
108,-116.0,24,paid_back_duly,furniture_equipment,7721,0.0,0.0,1,fem,none,2,life_insurance,30,none,rent,1,skilled,1,1,0,1
109,86.0,14,paid_back_duly,business,1410,755.0,10.0,1,male,none,2,real_estate,35,none,rent,1,skilled,1,1,1,1
110,123.0,6,delayed_pay,business,1449,181.0,10.0,1,male,none,2,car_or_other,31,bank,rent,2,skilled,2,0,1,1
111,462.0,15,paid_back_duly,education,392,32.0,0.0,4,fem,none,4,life_insurance,23,none,own/free,1,skilled,1,1,1,1
112,97.0,18,paid_back_duly,car_new,6260,28.0,5.0,3,male,none,3,real_estate,28,none,own/free,1,unskilled,1,0,1,1
113,0.0,36,critical,car_new,7855,48.0,1.0,4,fem,none,2,real_estate,25,stores,rent,2,skilled,1,1,1,2
114,-72.0,12,paid_back_duly,radio_tv,1680,638.0,10.0,3,male,none,1,real_estate,35,none,rent,1,skilled,1,0,1,1
115,0.0,48,critical,radio_tv,3578,0.0,13.0,4,male,none,1,real_estate,47,none,rent,1,skilled,1,1,1,1
116,-95.0,42,paid_back_duly,radio_tv,7174,0.0,4.0,4,fem,none,3,car_or_other,30,none,rent,1,skilled,1,1,1,2
117,-113.0,10,critical,furniture_equipment,2132,0.0,0.0,2,fem,co-app,3,real_estate,27,none,own/free,2,skilled,1,0,0,1
118,-117.0,33,critical,furniture_equipment,4281,816.0,2.0,1,fem,none,4,car_or_other,23,none,rent,2,skilled,1,0,1,2
119,92.0,12,critical,car_new,2366,801.0,6.0,3,male,none,3,car_or_other,36,none,rent,1,skilled,1,1,1,1
120,-88.0,21,paid_back_duly,radio_tv,1835,38.0,3.0,3,fem,none,2,real_estate,25,none,rent,2,skilled,1,1,1,2
121,0.0,24,critical,car_used,3868,36.0,12.0,4,fem,none,2,car_or_other,41,none,own/free,2,skilled,1,1,1,1
122,0.0,12,paid_back_duly,furniture_equipment,1768,50.0,2.0,3,male,none,2,real_estate,24,none,own/free,1,unskilled,1,0,1,1
123,418.0,10,critical,car_new,781,61.0,12.0,4,male,none,4,unknown_or_none,63,none,own/free,2,skilled,1,1,1,1
124,113.0,18,paid_back_duly,furniture_equipment,1924,0.0,0.0,4,fem,none,3,real_estate,27,none,own/free,1,skilled,1,0,1,2
125,-117.0,12,critical,car_new,2121,36.0,2.0,4,male,none,2,life_insurance,30,none,rent,2,skilled,1,0,1,1
126,-141.0,12,paid_back_duly,radio_tv,701,47.0,2.0,4,male,none,2,real_estate,40,none,rent,1,unskilled,1,0,1,1
127,69.0,12,paid_back_duly,repairs,639,39.0,3.0,4,male,none,2,car_or_other,30,none,rent,1,skilled,1,0,1,2
128,143.0,12,critical,car_used,1860,58.0,0.0,4,male,none,2,car_or_other,34,none,rent,2,skilled,1,1,1,1
129,-128.0,12,critical,car_new,3499,42.0,1.0,3,fem,co-app,2,real_estate,29,none,rent,2,skilled,1,0,1,2
130,82.0,48,paid_back_duly,car_new,8487,0.0,6.0,1,fem,none,2,car_or_other,24,none,rent,1,skilled,1,0,1,1
131,-130.0,36,delayed_pay,education,6887,30.0,2.0,4,male,none,3,life_insurance,29,stores,rent,1,skilled,1,1,1,2
132,0.0,15,paid_back_duly,furniture_equipment,2708,20.0,0.0,2,male,none,3,life_insurance,27,bank,rent,2,unskilled,1,0,1,1
133,1.0,18,paid_back_duly,furniture_equipment,1984,48.0,1.0,4,male,none,4,unknown_or_none,47,bank,own/free,2,skilled,1,0,1,1
134,1.0,60,paid_back_duly,radio_tv,10144,317.0,5.0,2,fem,none,4,real_estate,21,none,rent,1,skilled,1,1,1,1
135,0.0,12,critical,radio_tv,1240,0.0,14.0,4,fem,none,2,real_estate,38,none,rent,2,skilled,1,1,1,1
136,0.0,27,delayed_pay,car_used,8613,5073.0,2.0,2,male,none,2,car_or_other,27,none,rent,2,skilled,1,0,1,1
137,144.0,12,paid_back_duly,radio_tv,766,744.0,1.0,4,male,none,3,real_estate,66,none,rent,1,unskilled,1,0,1,2
138,120.0,15,critical,radio_tv,2728,0.0,4.0,4,male,guarantor,2,real_estate,35,bank,rent,3,skilled,1,1,1,1
139,517.0,12,paid_back_duly,radio_tv,1881,33.0,2.0,2,fem,none,2,car_or_other,44,none,own/free,1,unskilled,1,1,1,1
140,386.0,6,paid_back_duly,car_new,709,4640.0,0.0,2,male,none,2,real_estate,27,none,rent,1,unskilled,1,0,0,1
141,128.0,36,paid_back_duly,radio_tv,4795,42.0,0.0,4,fem,none,1,unknown_or_none,30,none,rent,1,skilled,1,1,1,1
142,-94.0,27,paid_back_duly,radio_tv,3416,69.0,1.0,3,male,none,2,car_or_other,27,none,rent,1,skilled,1,0,1,1
143,-101.0,18,paid_back_duly,furniture_equipment,2462,64.0,2.0,2,male,none,2,car_or_other,22,none,rent,1,skilled,1,0,1,2
144,1.0,21,critical,furniture_equipment,2288,48.0,0.0,4,fem,none,4,life_insurance,23,none,rent,1,skilled,1,1,1,1
145,113.0,48,paid_back_duly,business,3566,202.0,5.0,4,male,none,2,car_or_other,30,none,rent,1,skilled,1,0,1,1
146,-88.0,6,critical,car_new,860,39.0,9.0,1,fem,none,4,unknown_or_none,39,none,rent,2,skilled,1,1,1,1
147,0.0,12,critical,car_new,682,216.0,5.0,4,fem,none,3,car_or_other,51,none,rent,2,skilled,1,1,1,1
148,-105.0,36,critical,furniture_equipment,5371,61.0,3.0,3,male,guarantor,2,life_insurance,28,none,rent,2,skilled,1,0,1,1
149,0.0,18,critical,radio_tv,1582,5255.0,10.0,4,male,none,4,car_or_other,46,none,rent,2,skilled,1,0,1,1
150,1.0,6,paid_back_duly,radio_tv,1346,218.0,8.0,2,male,none,4,unknown_or_none,42,bank,own/free,1,skilled,2,1,1,1
151,0.0,10,paid_back_duly,radio_tv,1924,29.0,2.0,1,male,none,4,life_insurance,38,none,rent,1,skilled,1,1,0,1
152,391.0,36,paid_back_duly,radio_tv,5848,51.0,1.0,4,male,none,1,car_or_other,24,none,rent,1,skilled,1,0,1,1
153,23.0,24,critical,car_used,7758,4578.0,12.0,2,fem,none,4,unknown_or_none,29,none,own/free,1,skilled,1,0,1,1
154,97.0,24,delayed_pay,business,6967,100.0,7.0,4,male,none,4,car_or_other,36,none,own/free,1,skilled,1,1,1,1
155,-86.0,12,paid_back_duly,furniture_equipment,1282,50.0,1.0,2,fem,none,4,car_or_other,20,none,own/free,1,skilled,1,0,1,2
156,-98.0,9,critical,repairs,1288,252.0,14.0,3,male,guarantor,4,real_estate,48,none,rent,2,skilled,2,0,0,1
157,-121.0,12,paid_back_duly,retraining,339,58.0,10.0,4,male,none,1,car_or_other,45,bank,rent,1,unskilled,1,0,1,1
158,90.0,24,paid_back_duly,car_new,3512,268.0,6.0,2,male,none,3,car_or_other,38,bank,rent,2,skilled,1,1,1,1
159,0.0,6,critical,radio_tv,1898,0.0,1.0,1,male,none,2,real_estate,34,none,rent,2,unskilled,2,0,1,1
160,0.0,24,critical,radio_tv,2872,100.0,14.0,3,male,none,4,real_estate,36,none,rent,1,skilled,2,1,1,1
161,0.0,18,critical,car_new,1055,46.0,0.0,4,fem,none,1,life_insurance,30,none,rent,2,skilled,1,0,1,1
162,0.0,15,paid_back_duly,domestic_appliances,1262,697.0,6.0,4,male,none,3,life_insurance,36,none,rent,2,skilled,1,1,1,1
163,96.0,10,paid_back_duly,car_new,7308,58.0,0.0,2,male,none,4,unknown_or_none,70,bank,own/free,1,skilled,1,1,1,1
164,0.0,36,paid_back_duly,car_new,909,839.0,11.0,4,male,none,4,life_insurance,36,none,rent,1,skilled,1,0,1,1
165,0.0,6,paid_back_duly,furniture_equipment,2978,807.0,3.0,1,male,none,2,car_or_other,32,none,rent,1,skilled,1,1,1,1
166,-90.0,18,paid_back_duly,furniture_equipment,1131,44.0,0.0,4,fem,none,2,car_or_other,33,none,rent,1,skilled,1,0,1,2
167,115.0,11,paid_back_duly,furniture_equipment,1577,4562.0,0.0,4,fem,none,1,real_estate,20,none,rent,1,skilled,1,0,1,1
168,0.0,24,paid_back_duly,furniture_equipment,3972,42.0,5.0,2,fem,none,4,life_insurance,25,none,own/free,1,skilled,1,1,1,1
169,127.0,24,critical,business,1935,62.0,13.0,4,male,none,4,real_estate,31,none,rent,2,skilled,1,1,1,2
170,-106.0,15,paid_back_duly,car_new,950,39.0,15.0,4,male,none,3,car_or_other,33,none,own/free,2,skilled,2,0,1,2
171,0.0,12,paid_back_duly,furniture_equipment,763,60.0,1.0,4,fem,none,1,real_estate,26,none,rent,1,skilled,1,1,1,1
172,113.0,24,delayed_pay,furniture_equipment,2064,36.0,0.0,3,fem,none,2,life_insurance,34,none,rent,1,skilled,1,1,1,2
173,86.0,8,paid_back_duly,radio_tv,1414,42.0,2.0,4,male,guarantor,2,real_estate,33,none,rent,1,skilled,1,0,0,1
174,-99.0,21,delayed_pay,education,3414,73.0,0.0,2,male,none,1,life_insurance,26,none,rent,2,skilled,1,0,1,2
175,0.0,30,paid_back_duly,car_used,7485,0.0,0.0,4,fem,none,1,real_estate,53,bank,rent,1,skilled,1,1,1,2
176,-86.0,12,paid_back_duly,furniture_equipment,2577,57.0,1.0,2,male,none,1,car_or_other,42,none,rent,1,skilled,1,0,1,1
177,-96.0,6,critical,radio_tv,338,799.0,11.0,4,male,none,4,car_or_other,52,none,rent,2,skilled,1,0,1,1
178,0.0,12,paid_back_duly,radio_tv,1963,62.0,6.0,4,male,none,2,car_or_other,31,none,own/free,2,skilled,2,1,1,1
179,-88.0,21,critical,car_new,571,77.0,7.0,4,male,none,4,real_estate,65,none,rent,2,skilled,1,0,1,1
180,0.0,36,delayed_pay,business,9572,45.0,0.0,1,male,none,1,car_or_other,28,none,rent,2,skilled,1,0,1,2
181,151.0,36,delayed_pay,business,4455,48.0,4.0,2,male,none,2,real_estate,30,stores,rent,2,skilled,1,1,1,2
182,-102.0,21,paid_back_duly,car_new,1647,0.0,1.0,4,male,none,2,life_insurance,40,none,rent,2,unskilled,2,0,1,2
183,0.0,24,critical,furniture_equipment,3777,3079.0,2.0,4,male,none,4,real_estate,50,none,rent,1,skilled,1,1,1,1
184,76.0,18,critical,car_new,884,36.0,11.0,4,male,none,4,car_or_other,36,bank,rent,1,skilled,2,1,1,2
185,0.0,15,critical,radio_tv,1360,65.0,1.0,4,male,none,2,life_insurance,31,none,rent,2,skilled,1,0,1,1
186,117.0,9,paid_back_duly,car_used,5129,43.0,7.0,2,fem,none,4,unknown_or_none,74,bank,own/free,1,skilled,2,1,1,2
187,124.0,16,critical,car_new,1175,50.0,0.0,2,male,none,3,car_or_other,68,none,own/free,3,unskilled,1,1,1,1
188,-95.0,12,paid_back_duly,radio_tv,674,318.0,4.0,4,male,none,1,life_insurance,20,none,rent,1,skilled,1,0,1,2
189,102.0,18,paid_back_duly,furniture_equipment,3244,29.0,1.0,1,fem,none,4,car_or_other,33,bank,rent,2,skilled,1,1,1,1
190,0.0,24,paid_back_duly,business,4591,5393.0,1.0,2,male,none,3,life_insurance,54,none,rent,3,skilled,1,1,1,2
191,104.0,48,paid_back_duly,business,3844,232.0,4.0,4,male,none,4,unknown_or_none,34,none,own/free,1,unskilled,2,0,1,2
192,83.0,27,paid_back_duly,business,3915,61.0,1.0,4,male,none,2,car_or_other,36,none,rent,1,skilled,2,1,1,2
193,0.0,6,paid_back_duly,radio_tv,2108,49.0,5.0,2,male,none,2,real_estate,29,none,own/free,1,skilled,1,0,1,1
194,109.0,45,paid_back_duly,radio_tv,3031,173.0,1.0,4,male,guarantor,4,life_insurance,21,none,own/free,1,skilled,1,0,1,2
195,75.0,9,critical,education,1501,43.0,11.0,2,fem,none,3,car_or_other,34,none,rent,2,skilled,1,1,1,2
196,0.0,6,critical,radio_tv,1382,53.0,2.0,1,fem,none,1,car_or_other,28,none,rent,2,skilled,1,1,1,1
197,147.0,12,paid_back_duly,furniture_equipment,951,302.0,0.0,4,fem,none,4,car_or_other,27,bank,own/free,4,skilled,1,0,1,2
198,115.0,24,paid_back_duly,car_used,2760,0.0,12.0,4,male,none,4,unknown_or_none,36,bank,own/free,1,skilled,1,1,1,1
199,124.0,18,delayed_pay,furniture_equipment,4297,68.0,13.0,4,male,none,3,unknown_or_none,40,none,rent,1,skilled,1,1,1,2
200,0.0,9,critical,education,936,626.0,13.0,4,male,none,2,car_or_other,52,none,rent,2,skilled,1,1,1,1
201,-101.0,12,paid_back_duly,car_new,1168,51.0,2.0,4,male,none,3,real_estate,27,none,rent,1,unskilled,1,0,1,1
202,0.0,27,delayed_pay,business,5117,59.0,6.0,3,male,none,4,car_or_other,26,none,rent,2,skilled,1,0,1,1
203,-100.0,12,paid_back_duly,retraining,902,40.0,5.0,4,male,none,4,life_insurance,21,none,own/free,1,skilled,1,0,1,2
204,0.0,12,critical,car_new,1495,57.0,13.0,4,male,none,1,real_estate,38,none,rent,2,unskilled,2,0,1,1
205,-112.0,30,critical,car_used,10623,33.0,10.0,3,male,none,4,unknown_or_none,38,none,own/free,3,skilled,2,1,1,1
