Unnamed: 0,Stat_checking_acc,Duration_months,Credit_history,Purpose,Credit_amount,Savings_bonds,Duration_of_employment,Installment_pct_annual_income,Marital_status__and_sex,Other_debtors,Resident_since,Property,Age,Other_plans,Housing,Num_existing_credits,Job,num_liable,Has_phone,Foreign_Worker,Class,dem_cluster,Class_cat
50,129,24,delayed_pay,furniture_equipment,2333,0,0,4,male,none,2,life_insurance,29,bank,rent,1,unskilled,1,0,1,1,B,Good
51,82,27,delayed_pay,car_used,5965,66,14,1,male,none,2,car_or_other,30,none,rent,2,skilled,1,1,1,1,C,Good
52,0,12,paid_back_duly,radio_tv,1262,40,2,3,male,none,2,car_or_other,25,none,rent,1,skilled,1,0,1,1,B,Good
53,0,18,paid_back_duly,car_used,3378,0,2,2,male,none,1,life_insurance,31,none,rent,1,skilled,1,1,1,1,B,Good
54,94,36,delayed_pay,car_new,2225,48,9,4,male,none,4,unknown_or_none,57,bank,own/free,2,skilled,1,1,1,2,C,Bad
55,0,6,paid_back_duly,car_new,783,0,1,1,male,guarantor,2,real_estate,26,stores,rent,1,unskilled,2,0,1,1,B,Good
56,143,12,paid_back_duly,radio_tv,6468,0,0,2,male,none,1,unknown_or_none,52,none,rent,1,skilled,1,1,1,2,B,Bad
57,0,36,critical,radio_tv,9566,47,4,2,fem,none,2,car_or_other,31,stores,rent,2,skilled,1,0,1,1,B,Good
58,592,18,paid_back_duly,car_new,1961,27,8,3,fem,none,2,car_or_other,23,none,rent,1,skilled,1,0,1,1,A,Good
59,-103,36,critical,furniture_equipment,6229,35,0,4,fem,co-app,4,unknown_or_none,23,none,own/free,2,unskilled,1,1,1,2,B,Bad
60,139,9,paid_back_duly,business,1391,18,2,2,male,none,1,real_estate,27,bank,rent,1,skilled,1,1,1,1,B,Good
61,98,15,critical,radio_tv,1537,0,14,4,male,guarantor,4,real_estate,50,none,rent,2,skilled,1,1,1,1,C,Good
62,111,36,paid_back_duly,business,1953,34,14,4,male,none,4,unknown_or_none,61,none,own/free,1,skilled,1,1,1,2,C,Bad
63,102,48,paid_back_duly,business,14421,40,1,2,male,none,2,car_or_other,25,none,rent,1,skilled,1,1,1,2,B,Bad
64,0,24,paid_back_duly,radio_tv,3181,48,0,4,fem,none,4,life_insurance,26,none,rent,1,skilled,1,1,1,1,B,Good
65,0,27,paid_back_duly,repairs,5190,0,13,4,male,none,4,life_insurance,48,none,rent,4,skilled,2,1,1,1,C,Good
66,0,12,paid_back_duly,radio_tv,2171,63,0,2,fem,none,2,car_or_other,29,bank,rent,1,skilled,1,0,1,1,B,Good
67,102,12,paid_back_duly,car_new,1007,4400,3,4,male,none,1,real_estate,22,none,rent,1,skilled,1,0,1,1,D,Good
68,0,36,paid_back_duly,education,1819,54,3,4,male,none,4,unknown_or_none,37,stores,own/free,1,skilled,1,1,1,2,B,Bad
69,0,36,paid_back_duly,radio_tv,2394,0,2,4,fem,none,4,car_or_other,25,none,rent,1,skilled,1,0,1,1,B,Good
70,0,36,paid_back_duly,car_used,8133,47,3,1,fem,none,2,life_insurance,30,bank,rent,1,skilled,1,0,1,1,B,Good
71,0,7,critical,radio_tv,730,0,8,4,male,none,2,life_insurance,46,none,own/free,2,unskilled,1,1,1,1,C,Good
72,-87,8,critical,others,1164,30,15,3,male,none,4,unknown_or_none,51,bank,own/free,2,skilled,2,1,1,1,C,Good
73,115,42,critical,business,5954,56,6,2,fem,none,1,real_estate,41,bank,rent,2,unskilled,1,0,1,1,C,Good
74,-98,36,paid_back_duly,education,1977,0,14,4,male,none,4,unknown_or_none,40,none,rent,1,skilled,1,1,1,2,C,Bad
75,-106,12,critical,car_used,1526,30,9,4,male,none,4,unknown_or_none,66,none,own/free,2,skilled,1,0,1,1,C,Good
76,-104,42,paid_back_duly,radio_tv,3965,46,0,4,male,none,3,car_or_other,34,none,rent,1,skilled,1,0,1,2,B,Bad
77,84,11,delayed_pay,radio_tv,4771,39,5,2,male,none,4,life_insurance,51,none,rent,1,skilled,1,0,1,1,C,Good
78,0,54,paid_back_duly,car_used,9436,0,2,2,male,none,2,life_insurance,39,none,rent,1,unskilled,2,0,1,1,B,Good
79,76,30,paid_back_duly,furniture_equipment,3832,57,0,2,male,none,1,life_insurance,22,none,rent,1,skilled,1,0,1,1,B,Good
80,1,24,paid_back_duly,radio_tv,5943,0,0,1,fem,none,1,car_or_other,44,none,rent,2,skilled,1,1,1,2,B,Bad
81,0,15,paid_back_duly,radio_tv,1213,704,9,4,male,none,3,life_insurance,47,stores,rent,1,skilled,1,1,1,1,C,Good
82,0,18,paid_back_duly,business,1568,340,1,3,fem,none,4,life_insurance,24,none,own/free,1,unskilled,1,0,1,1,B,Good
83,-79,24,paid_back_duly,others,1755,34,13,4,fem,guarantor,4,real_estate,58,none,rent,1,unskilled,1,1,1,1,C,Good
84,-117,10,paid_back_duly,radio_tv,2315,34,10,3,male,none,4,real_estate,52,none,rent,1,unskilled,1,0,1,1,C,Good
85,0,12,critical,business,1412,46,3,4,fem,guarantor,2,real_estate,29,none,rent,2,skilled,1,1,1,1,B,Good
86,73,18,critical,furniture_equipment,1295,62,0,4,fem,none,1,life_insurance,27,none,rent,2,skilled,1,0,1,1,B,Good
87,129,36,paid_back_duly,education,12612,143,3,1,male,none,4,unknown_or_none,47,none,own/free,1,skilled,2,1,1,2,B,Bad
88,-103,18,paid_back_duly,car_new,2249,293,5,4,male,none,3,car_or_other,30,none,rent,1,skilled,2,1,1,1,B,Good
89,-115,12,paid_back_duly,repairs,1108,32,5,4,male,none,3,real_estate,28,none,rent,2,skilled,1,0,1,2,B,Bad
90,0,12,critical,radio_tv,618,63,10,4,male,none,4,real_estate,56,none,rent,1,skilled,1,0,1,1,C,Good
91,-103,12,critical,car_used,1409,66,13,4,male,none,3,real_estate,54,none,rent,1,skilled,1,0,1,1,C,Good
92,0,12,critical,radio_tv,797,0,12,4,fem,none,3,life_insurance,33,bank,rent,1,unskilled,2,0,1,2,C,Bad
93,557,24,critical,furniture_equipment,3617,0,10,4,male,co-app,4,unknown_or_none,20,none,own/free,2,skilled,1,0,1,1,A,Good
94,106,12,paid_back_duly,car_new,1318,5334,13,4,male,none,4,real_estate,54,none,rent,1,skilled,1,1,1,1,D,Good
95,132,54,paid_back_duly,business,15945,52,0,3,male,none,4,unknown_or_none,58,none,own/free,1,skilled,1,1,1,2,B,Bad
96,0,12,critical,education,2012,0,5,4,fem,none,2,car_or_other,61,none,rent,1,skilled,1,0,1,1,C,Good
97,114,18,paid_back_duly,business,2622,296,3,4,male,none,4,car_or_other,34,none,rent,1,skilled,1,0,1,1,B,Good
98,101,36,critical,radio_tv,2337,66,10,4,male,none,4,real_estate,36,none,rent,1,skilled,1,0,1,1,C,Good
99,110,20,delayed_pay,car_used,7057,0,4,3,male,none,4,life_insurance,36,bank,own/free,2,skilled,2,1,1,1,B,Good
100,0,24,paid_back_duly,car_new,1469,152,11,4,male,none,4,real_estate,41,none,own/free,1,unskilled,1,0,1,1,C,Good
101,94,36,paid_back_duly,radio_tv,2323,46,6,4,male,none,4,car_or_other,24,none,own/free,1,skilled,1,0,1,1,B,Good
102,1,6,delayed_pay,radio_tv,932,8,2,3,fem,none,2,real_estate,24,none,rent,1,skilled,1,0,1,1,B,Good
103,55,9,critical,furniture_equipment,1919,89,5,4,male,none,3,car_or_other,35,none,own/free,1,skilled,1,1,1,1,B,Good
104,0,12,paid_back_duly,car_used,2445,0,0,2,male,none,4,car_or_other,26,none,own/free,1,skilled,1,1,1,1,B,Good
105,56,24,critical,others,11938,42,2,2,male,co-app,3,car_or_other,39,none,rent,2,skilled,2,1,1,2,B,Bad
106,0,18,paid_back_duly,car_new,6458,45,11,2,male,none,4,unknown_or_none,39,bank,rent,2,skilled,2,1,1,2,C,Bad
107,120,12,paid_back_duly,car_new,6078,62,7,2,male,none,2,car_or_other,32,none,rent,1,skilled,1,0,1,1,B,Good
108,-116,24,paid_back_duly,furniture_equipment,7721,0,0,1,fem,none,2,life_insurance,30,none,rent,1,skilled,1,1,0,1,B,Good
109,86,14,paid_back_duly,business,1410,755,10,1,male,none,2,real_estate,35,none,rent,1,skilled,1,1,1,1,C,Good
110,123,6,delayed_pay,business,1449,181,10,1,male,none,2,car_or_other,31,bank,rent,2,skilled,2,0,1,1,C,Good
111,462,15,paid_back_duly,education,392,32,0,4,fem,none,4,life_insurance,23,none,own/free,1,skilled,1,1,1,1,A,Good
112,97,18,paid_back_duly,car_new,6260,28,5,3,male,none,3,real_estate,28,none,own/free,1,unskilled,1,0,1,1,B,Good
113,0,36,critical,car_new,7855,48,1,4,fem,none,2,real_estate,25,stores,rent,2,skilled,1,1,1,2,B,Bad
114,-72,12,paid_back_duly,radio_tv,1680,638,10,3,male,none,1,real_estate,35,none,rent,1,skilled,1,0,1,1,C,Good
115,0,48,critical,radio_tv,3578,0,13,4,male,none,1,real_estate,47,none,rent,1,skilled,1,1,1,1,C,Good
116,-95,42,paid_back_duly,radio_tv,7174,0,4,4,fem,none,3,car_or_other,30,none,rent,1,skilled,1,1,1,2,B,Bad
117,-113,10,critical,furniture_equipment,2132,0,0,2,fem,co-app,3,real_estate,27,none,own/free,2,skilled,1,0,0,1,B,Good
118,-117,33,critical,furniture_equipment,4281,816,2,1,fem,none,4,car_or_other,23,none,rent,2,skilled,1,0,1,2,B,Bad
119,92,12,critical,car_new,2366,801,6,3,male,none,3,car_or_other,36,none,rent,1,skilled,1,1,1,1,C,Good
120,-88,21,paid_back_duly,radio_tv,1835,38,3,3,fem,none,2,real_estate,25,none,rent,2,skilled,1,1,1,2,B,Bad
121,0,24,critical,car_used,3868,36,12,4,fem,none,2,car_or_other,41,none,own/free,2,skilled,1,1,1,1,C,Good
122,0,12,paid_back_duly,furniture_equipment,1768,50,2,3,male,none,2,real_estate,24,none,own/free,1,unskilled,1,0,1,1,B,Good
123,418,10,critical,car_new,781,61,12,4,male,none,4,unknown_or_none,63,none,own/free,2,skilled,1,1,1,1,A,Good
124,113,18,paid_back_duly,furniture_equipment,1924,0,0,4,fem,none,3,real_estate,27,none,own/free,1,skilled,1,0,1,2,B,Bad
125,-117,12,critical,car_new,2121,36,2,4,male,none,2,life_insurance,30,none,rent,2,skilled,1,0,1,1,B,Good
126,-141,12,paid_back_duly,radio_tv,701,47,2,4,male,none,2,real_estate,40,none,rent,1,unskilled,1,0,1,1,B,Good
127,69,12,paid_back_duly,repairs,639,39,3,4,male,none,2,car_or_other,30,none,rent,1,skilled,1,0,1,2,B,Bad
128,143,12,critical,car_used,1860,58,0,4,male,none,2,car_or_other,34,none,rent,2,skilled,1,1,1,1,B,Good
129,-128,12,critical,car_new,3499,42,1,3,fem,co-app,2,real_estate,29,none,rent,2,skilled,1,0,1,2,B,Bad
130,82,48,paid_back_duly,car_new,8487,0,6,1,fem,none,2,car_or_other,24,none,rent,1,skilled,1,0,1,1,B,Good
131,-130,36,delayed_pay,education,6887,30,2,4,male,none,3,life_insurance,29,stores,rent,1,skilled,1,1,1,2,B,Bad
132,0,15,paid_back_duly,furniture_equipment,2708,20,0,2,male,none,3,life_insurance,27,bank,rent,2,unskilled,1,0,1,1,B,Good
133,1,18,paid_back_duly,furniture_equipment,1984,48,1,4,male,none,4,unknown_or_none,47,bank,own/free,2,skilled,1,0,1,1,B,Good
134,1,60,paid_back_duly,radio_tv,10144,317,5,2,fem,none,4,real_estate,21,none,rent,1,skilled,1,1,1,1,B,Good
135,0,12,critical,radio_tv,1240,0,14,4,fem,none,2,real_estate,38,none,rent,2,skilled,1,1,1,1,C,Good
136,0,27,delayed_pay,car_used,8613,5073,2,2,male,none,2,car_or_other,27,none,rent,2,skilled,1,0,1,1,D,Good
137,144,12,paid_back_duly,radio_tv,766,744,1,4,male,none,3,real_estate,66,none,rent,1,unskilled,1,0,1,2,C,Bad
138,120,15,critical,radio_tv,2728,0,4,4,male,guarantor,2,real_estate,35,bank,rent,3,skilled,1,1,1,1,B,Good
139,517,12,paid_back_duly,radio_tv,1881,33,2,2,fem,none,2,car_or_other,44,none,own/free,1,unskilled,1,1,1,1,A,Good
140,386,6,paid_back_duly,car_new,709,4640,0,2,male,none,2,real_estate,27,none,rent,1,unskilled,1,0,0,1,D,Good
141,128,36,paid_back_duly,radio_tv,4795,42,0,4,fem,none,1,unknown_or_none,30,none,rent,1,skilled,1,1,1,1,B,Good
142,-94,27,paid_back_duly,radio_tv,3416,69,1,3,male,none,2,car_or_other,27,none,rent,1,skilled,1,0,1,1,B,Good
143,-101,18,paid_back_duly,furniture_equipment,2462,64,2,2,male,none,2,car_or_other,22,none,rent,1,skilled,1,0,1,2,B,Bad
144,1,21,critical,furniture_equipment,2288,48,0,4,fem,none,4,life_insurance,23,none,rent,1,skilled,1,1,1,1,B,Good
145,113,48,paid_back_duly,business,3566,202,5,4,male,none,2,car_or_other,30,none,rent,1,skilled,1,0,1,1,B,Good
146,-88,6,critical,car_new,860,39,9,1,fem,none,4,unknown_or_none,39,none,rent,2,skilled,1,1,1,1,C,Good
147,0,12,critical,car_new,682,216,5,4,fem,none,3,car_or_other,51,none,rent,2,skilled,1,1,1,1,C,Good
148,-105,36,critical,furniture_equipment,5371,61,3,3,male,guarantor,2,life_insurance,28,none,rent,2,skilled,1,0,1,1,B,Good
149,0,18,critical,radio_tv,1582,5255,10,4,male,none,4,car_or_other,46,none,rent,2,skilled,1,0,1,1,D,Good
150,1,6,paid_back_duly,radio_tv,1346,218,8,2,male,none,4,unknown_or_none,42,bank,own/free,1,skilled,2,1,1,1,C,Good
151,0,10,paid_back_duly,radio_tv,1924,29,2,1,male,none,4,life_insurance,38,none,rent,1,skilled,1,1,0,1,B,Good
152,391,36,paid_back_duly,radio_tv,5848,51,1,4,male,none,1,car_or_other,24,none,rent,1,skilled,1,0,1,1,A,Good
153,23,24,critical,car_used,7758,4578,12,2,fem,none,4,unknown_or_none,29,none,own/free,1,skilled,1,0,1,1,D,Good
154,97,24,delayed_pay,business,6967,100,7,4,male,none,4,car_or_other,36,none,own/free,1,skilled,1,1,1,1,C,Good
155,-86,12,paid_back_duly,furniture_equipment,1282,50,1,2,fem,none,4,car_or_other,20,none,own/free,1,skilled,1,0,1,2,B,Bad
156,-98,9,critical,repairs,1288,252,14,3,male,guarantor,4,real_estate,48,none,rent,2,skilled,2,0,0,1,C,Good
157,-121,12,paid_back_duly,retraining,339,58,10,4,male,none,1,car_or_other,45,bank,rent,1,unskilled,1,0,1,1,C,Good
158,90,24,paid_back_duly,car_new,3512,268,6,2,male,none,3,car_or_other,38,bank,rent,2,skilled,1,1,1,1,B,Good
159,0,6,critical,radio_tv,1898,0,1,1,male,none,2,real_estate,34,none,rent,2,unskilled,2,0,1,1,B,Good
160,0,24,critical,radio_tv,2872,100,14,3,male,none,4,real_estate,36,none,rent,1,skilled,2,1,1,1,C,Good
161,0,18,critical,car_new,1055,46,0,4,fem,none,1,life_insurance,30,none,rent,2,skilled,1,0,1,1,B,Good
162,0,15,paid_back_duly,domestic_appliances,1262,697,6,4,male,none,3,life_insurance,36,none,rent,2,skilled,1,1,1,1,B,Good
163,96,10,paid_back_duly,car_new,7308,58,0,2,male,none,4,unknown_or_none,70,bank,own/free,1,skilled,1,1,1,1,C,Good
164,0,36,paid_back_duly,car_new,909,839,11,4,male,none,4,life_insurance,36,none,rent,1,skilled,1,0,1,1,C,Good
165,0,6,paid_back_duly,furniture_equipment,2978,807,3,1,male,none,2,car_or_other,32,none,rent,1,skilled,1,1,1,1,B,Good
166,-90,18,paid_back_duly,furniture_equipment,1131,44,0,4,fem,none,2,car_or_other,33,none,rent,1,skilled,1,0,1,2,B,Bad
167,115,11,paid_back_duly,furniture_equipment,1577,4562,0,4,fem,none,1,real_estate,20,none,rent,1,skilled,1,0,1,1,D,Good
168,0,24,paid_back_duly,furniture_equipment,3972,42,5,2,fem,none,4,life_insurance,25,none,own/free,1,skilled,1,1,1,1,B,Good
169,127,24,critical,business,1935,62,13,4,male,none,4,real_estate,31,none,rent,2,skilled,1,1,1,2,C,Bad
170,-106,15,paid_back_duly,car_new,950,39,15,4,male,none,3,car_or_other,33,none,own/free,2,skilled,2,0,1,2,C,Bad
171,0,12,paid_back_duly,furniture_equipment,763,60,1,4,fem,none,1,real_estate,26,none,rent,1,skilled,1,1,1,1,B,Good
172,113,24,delayed_pay,furniture_equipment,2064,36,0,3,fem,none,2,life_insurance,34,none,rent,1,skilled,1,1,1,2,B,Bad
173,86,8,paid_back_duly,radio_tv,1414,42,2,4,male,guarantor,2,real_estate,33,none,rent,1,skilled,1,0,0,1,B,Good
174,-99,21,delayed_pay,education,3414,73,0,2,male,none,1,life_insurance,26,none,rent,2,skilled,1,0,1,2,B,Bad
175,0,30,paid_back_duly,car_used,7485,0,0,4,fem,none,1,real_estate,53,bank,rent,1,skilled,1,1,1,2,B,Bad
176,-86,12,paid_back_duly,furniture_equipment,2577,57,1,2,male,none,1,car_or_other,42,none,rent,1,skilled,1,0,1,1,B,Good
177,-96,6,critical,radio_tv,338,799,11,4,male,none,4,car_or_other,52,none,rent,2,skilled,1,0,1,1,C,Good
178,0,12,paid_back_duly,radio_tv,1963,62,6,4,male,none,2,car_or_other,31,none,own/free,2,skilled,2,1,1,1,B,Good
179,-88,21,critical,car_new,571,77,7,4,male,none,4,real_estate,65,none,rent,2,skilled,1,0,1,1,C,Good
180,0,36,delayed_pay,business,9572,45,0,1,male,none,1,car_or_other,28,none,rent,2,skilled,1,0,1,2,B,Bad
181,151,36,delayed_pay,business,4455,48,4,2,male,none,2,real_estate,30,stores,rent,2,skilled,1,1,1,2,B,Bad
182,-102,21,paid_back_duly,car_new,1647,0,1,4,male,none,2,life_insurance,40,none,rent,2,unskilled,2,0,1,2,B,Bad
183,0,24,critical,furniture_equipment,3777,3079,2,4,male,none,4,real_estate,50,none,rent,1,skilled,1,1,1,1,D,Good
184,76,18,critical,car_new,884,36,11,4,male,none,4,car_or_other,36,bank,rent,1,skilled,2,1,1,2,C,Bad
185,0,15,critical,radio_tv,1360,65,1,4,male,none,2,life_insurance,31,none,rent,2,skilled,1,0,1,1,B,Good
186,117,9,paid_back_duly,car_used,5129,43,7,2,fem,none,4,unknown_or_none,74,bank,own/free,1,skilled,2,1,1,2,C,Bad
187,124,16,critical,car_new,1175,50,0,2,male,none,3,car_or_other,68,none,own/free,3,unskilled,1,1,1,1,C,Good
188,-95,12,paid_back_duly,radio_tv,674,318,4,4,male,none,1,life_insurance,20,none,rent,1,skilled,1,0,1,2,B,Bad
189,102,18,paid_back_duly,furniture_equipment,3244,29,1,1,fem,none,4,car_or_other,33,bank,rent,2,skilled,1,1,1,1,B,Good
190,0,24,paid_back_duly,business,4591,5393,1,2,male,none,3,life_insurance,54,none,rent,3,skilled,1,1,1,2,D,Bad
191,104,48,paid_back_duly,business,3844,232,4,4,male,none,4,unknown_or_none,34,none,own/free,1,unskilled,2,0,1,2,B,Bad
192,83,27,paid_back_duly,business,3915,61,1,4,male,none,2,car_or_other,36,none,rent,1,skilled,2,1,1,2,B,Bad
193,0,6,paid_back_duly,radio_tv,2108,49,5,2,male,none,2,real_estate,29,none,own/free,1,skilled,1,0,1,1,B,Good
194,109,45,paid_back_duly,radio_tv,3031,173,1,4,male,guarantor,4,life_insurance,21,none,own/free,1,skilled,1,0,1,2,B,Bad
195,75,9,critical,education,1501,43,11,2,fem,none,3,car_or_other,34,none,rent,2,skilled,1,1,1,2,C,Bad
196,0,6,critical,radio_tv,1382,53,2,1,fem,none,1,car_or_other,28,none,rent,2,skilled,1,1,1,1,B,Good
197,147,12,paid_back_duly,furniture_equipment,951,302,0,4,fem,none,4,car_or_other,27,bank,own/free,4,skilled,1,0,1,2,B,Bad
198,115,24,paid_back_duly,car_used,2760,0,12,4,male,none,4,unknown_or_none,36,bank,own/free,1,skilled,1,1,1,1,C,Good
199,124,18,delayed_pay,furniture_equipment,4297,68,13,4,male,none,3,unknown_or_none,40,none,rent,1,skilled,1,1,1,2,C,Bad
200,0,9,critical,education,936,626,13,4,male,none,2,car_or_other,52,none,rent,2,skilled,1,1,1,1,C,Good
201,-101,12,paid_back_duly,car_new,1168,51,2,4,male,none,3,real_estate,27,none,rent,1,unskilled,1,0,1,1,B,Good
202,0,27,delayed_pay,business,5117,59,6,3,male,none,4,car_or_other,26,none,rent,2,skilled,1,0,1,1,B,Good
203,-100,12,paid_back_duly,retraining,902,40,5,4,male,none,4,life_insurance,21,none,own/free,1,skilled,1,0,1,2,B,Bad
204,0,12,critical,car_new,1495,57,13,4,male,none,1,real_estate,38,none,rent,2,unskilled,2,0,1,1,C,Good
205,-112,30,critical,car_used,10623,33,10,3,male,none,4,unknown_or_none,38,none,own/free,3,skilled,2,1,1,1,C,Good
206,0,12,critical,furniture_equipment,1935,56,9,4,male,none,4,real_estate,43,none,rent,3,skilled,1,1,1,1,C,Good
